"id"	"ru_meaning"	"ru_meaning_raw"	"ru_meaning_lit"	"ru_notes"	"ru_cognate"
"74450"	""	"владение; приобретение; коллекция; досл. собирание вместе"	""	""	""
"74451"	""	"факт несоединенности; факт смежности; досл. невмешательство состояния"	""	""	""
"74452"	""	"победил невозможное; справился с трудностями; досл. победил трудно победимое"	""	""	""
"74453"	""	"труднопобедимый; труднозавоевываемый"	""	""	""
"74454"	""	"завоевал; победил; преодолел"	""	""	""
"74455"	""	"достигший своей цели; (комм) достигший арахантства; досл. достигший ума"	""	""	""
"74456"	""	"божественное сидение; небесный трон"	""	""	""
"74457"	""	"присматривающий; ухаживающий; обслуживающий"	""	""	""
"74458"	""	"прибыльная выгода; удачное приобретение; досл. хорошо полученная выгода"	""	""	""
"74459"	""	"считаемый идущим к благой цели; считаемый имеющим счастливую судьбу"	""	""	""
"74460"	""	"рассматриваемый как ""доходная выгода""; принимаемый за ""счастливое приобретение"""	""	""	""
"74461"	""	"рассматриваемый как 'хорошо установленный'; считаемый как 'прочно укоренённый'"	""	""	""
"74462"	""	"говорящий (о); болтающий (о); провозглашающий"	""	""	""
"74463"	""	"следует; идет по дороге"	""	""	""
"74464"	""	"следует путем; идет по дороге"	""	""	""
"74465"	"следует (за); идёт следом"	"следует; путешествует; идет вслед"	""	""	""
"74466"	""	"оставляется; отказывается"	""	""	""
"74467"	"хорошее установление; полное присутствие"	"факт хорошего установления; факт полного присутствия; досл. хорошо стоящий рядом состояние"	"хорошее состояние стояния рядом"	""	""
"74468"	""	"склонность к размышлениям"	""	""	""
"74469"	""	"практикующий в соответствии с учением; следующий Дхамме соответственно"	""	""	""
"74470"	""	"думающий (о); размышляющий (о); обдумывающий (о)"	""	""	""
"74471"	""	"внутренняя нечистота; внутреннее омрачение; внутренняя порча"	""	""	""
"74472"	""	"внутренний враг; внутренний неприятель"	""	""	""
"74473"	""	"внутренний враг; внутренний противник"	""	""	""
"74474"	""	"внутренний вредитель; который вредит изнутри; досл. внутренний убийца"	""	""	""
"74475"	""	"внутренний противник; внутренний оппонент"	""	""	""
"74476"	""	"желаемая вещь; притягательный объект"	""	""	""
"74477"	""	"ненавистная вещь; отвратительный объект"	""	""	""
"74478"	""	"уравнивающий себя; считающий себя равным; досл. следуемый измерением"	""	""	""
"74479"	""	"стать небрежным; полный беспечности; досл. следованная небрежность"	""	""	""
"74480"	""	"считающий себя равным; уравнивающий себя"	""	""	""
"74481"	""	"адская бездна"	""	""	""
"74482"	""	"бесконечность; непрерывность; досл. отсутствие конечного состояния"	""	""	""
"74483"	""	"горшок с ядом; глиняный сосуд с отравой"	""	""	""
"74484"	""	"отравить; загрязнять; развращать; досл. привести к развращению"	""	""	""
"74485"	""	"ужасный; пугающий; страшный"	""	""	""
"74486"	""	"разрушающийся; погибающий; портящийся"	""	""	""
"74487"	""	"край верхней одежды; уголок двойной одежды; досл. соединённое ухо"	""	""	""
"74488"	""	"прямо зная учение; понимая реальность через опыт"	""	""	""
"74489"	""	"растет; увеличивается; опухает; умножается; досл. вызывает увеличение"	""	""	""
"74490"	""	"воспринимающий уродство; осознающий непривлекательность"	""	""	""
"74491"	""	"превзошел страдание; преодолел стресс; преодолел дискомфорт"	""	""	""
"74492"	""	"непосредственно зная разрушение рождения; понимая изнашивание перерождения опытным путем"	""	""	""
"74493"	""	"устранивший семь уз; оставивший семь оков"	""	""	""
"74494"	""	"привязанный к удовольствию от милых форм; пойманный в ловушку наслаждения от привлекательного"	""	""	""
"74495"	""	"сопряженный с ярмом чувственности; под влиянием чувственного желания"	""	""	""
"74496"	""	"запряженный в ярмо становления; связанный с ярмом существования; досл. впряженный в ярмо бытия"	""	""	""
"74497"	""	"отделённый от уз чувственного желания; освобождённый от ига чувственности"	""	""	""
"74498"	""	"оторванный от уз бытия; освобожденный от ига становления; досл. освобожденный от ига бытия"	""	""	""
"74499"	""	"искоренивший тщеславие и возрождение"	""	""	""
"74500"	""	"факт гордости; факт самомнения; состояние сравнения себя с другими"	""	"or √mā (measure)"	""
"74501"	""	"ведущий к полному пробуждению; идущий к просветлению"	""	""	""
"74502"	""	"кто оставил всё; кто отказался от всего"	""	""	""
"74503"	""	"хвалил; превозносил; говорил хорошо (о)"	""	""	""
"74504"	""	"сочувствующий всем существам; сопереживающий всем живым существам"	""	""	""
"74505"	""	"знание освобождения"	""	""	""
"74506"	""	"осветитель; досл. создатель света"	""	""	""
"74507"	""	"осветитель; сияющий; досл. создающий сияние"	""	""	""
"74508"	""	"создание радости; причинение счастья; принесение веселья"	""	""	""
"74509"	""	"зависящий друг от друга; взаимосвязанный"	""	""	""
"74510"	""	"устранение рисков; защита от опасности; досл. изгнание опасности"	""	""	""
"74511"	""	"благородная мудрость"	""	""	""
"74512"	""	"приятный и красивый; милый и притягательный"	""	""	""
"74513"	""	"прыгающий вперед; стремящийся вперед"	""	""	""
"74514"	""	"достигает; обретает"	""	""	""
"74515"	""	"отделенный от всего мира; освобожденный от всего; досл. освобожденный от всего мира"	""	""	""
"74516"	""	"сборник бесед"	""	""	""
"74517"	""	"пара; дяд; группа из двух"	""	""	""
"74518"	""	"двадцать два (22)"	""	""	""
"74519"	""	"продолжительное существование; долгое существование; выносливость в течение длительного времени"	""	""	""
"74520"	""	"книга 4 из Худдака Никаи; досл. так сказано"	""	""	""
"74521"	""	""	""	""	""
"74522"	""	"бьющий; ударяющий"	""	""	""
"74523"	""	"роды; рождение ребенка"	""	""	""
"74524"	""	"масс; накопление; конгломерация"	""	""	""
"74525"	""	"связанный, зависящий, ассоциированный, досл. привязанный"	""	""	""
"74526"	""	"сказанный; обращённый"	""	""	""
"74527"	""	"мучимый; измученный; досл. избитый со всех сторон"	""	""	""
"74528"	""	"факт неразвитости; факт отсутствия самосовершенствования; досл. неразвитое состояние себя"	""	""	""
"74529"	""	"факт пробуждения; факт самосовершенствования; досл. развитое состояние себя"	""	""	""
"74530"	""	"название горы; досл. колеблющийся; неустойчивый"	""	""	""
"74531"	""	"жесткость; шероховатость"	""	""	""
"74532"	""	"жестокость; дикость; злобность; безжалостность"	""	""	""
"74533"	""	"вбивает в землю; погружает в землю; досл. заставляет погрузиться вниз"	""	""	""
"74534"	"наслаждается; получает удовольствие; радуется; любит"	""	""	""	""
"74535"	""	"тот, у кого обострённые умственные способности; (комм) арахант; досл. высший ум"	""	"существительные группы ""mano"", хотя в санскрите они имеют средний род, по классической грамматике пали, такой как ""Saddanīti"", считаются мужскими. Приведенный пример: <i>mano anicco, mano dukkho'ti</i>. Противоположный пример: <i>amoghaṃ tapo</i>."	""
"74536"	""	"полностью умственно развитый; обладающий высшим сознанием; досл. имеющий более высокое качество ума"	""	""	""
"74537"	""	"половой акт; досл. дело, выполняемое мужчиной"	""	""	""
"74538"	""	"утешающий; ободряющий; заверяющий; успокаивающий; досл. заставляющий дышать вместе"	""	""	""
"74539"	""	"понял, знал"	""	""	""
"74540"	""	"название горы; досл. продвижение вперёд"	""	""	""
"74541"	""	"один дом; одно жилище"	""	""	""
"74542"	""	"чистый человек; нравственный человек"	""	""	""
"74543"	""	"приложив усилие; попробовав"	""	""	""
"74544"	"достижение; прибытие"	""	""	""	""
"74545"	""	"(о обществе) вызывает раскол; раскалывает; досл. раскалывает"	""	""	""
"74546"	""	"хороший человек; моральный человек"	""	""	""
"74547"	""	"человек слепой от рождения; слепорожденный человек"	""	""	""
"74548"	""	"метла"	""	""	""
"74549"	""	"минуя узы; избегая привязей"	""	""	""
"74550"	""	"падение вокруг; кружение вокруг"	""	""	""
"74551"	""	"падение; налет"	""	""	""
"74552"	""	"практикует; выращивает; досл. вызывает увеличение"	""	""	""
"74553"	""	"перерубить желание; отсечь страсть"	""	""	""
"74554"	""	"сокрушал гордость; уничтожал высокомерие"	""	""	""
"74555"	""	"с приготовленной едой; с готовым блюдом; досл. варёный рис"	""	""	""
"74556"	""	"желаешь; хочешь"	""	""	""
"74557"	""	"слепни, комары"	""	""	""
"74558"	""	"плот"	""	""	""
"74559"	""	"живущий вместе; сожительствующий"	""	""	""
"74560"	""	"вычитание; досл. увод"	""	""	""
"74561"	""	"обращение; поворот; направление; наклонение"	""	""	""
"74562"	""	"возбуждается, взволнован"	""	""	""
"74563"	""	"с большим животом; с толстым брюхом"	""	""	""
"74564"	"(о проступке) серьёзный; тяжёлый"	"(о преступлении) серьёзный; тяжёлый; досл. толстый"	"толстый"	""	""
"74565"	""	"буква, досл. размазывание"	""	""	""
"74566"	""	"отказывающийся, досл. бросая вниз"	""	""	""
"74567"	""	"худшее (из); низшее (из); досл. конец"	""	""	""
"74568"	""	"идет"	""	""	""
"74569"	""	"заботится, тянется, размышляет"	""	""	""
"74570"	""	"молодая корова"	""	""	""
"74571"	""	"оценщик; эксперт; оцениватель"	""	""	""
"74572"	"Катина привилегия; Катина разрешение"	""	""	""	""
"74573"	""	"(о проступке) излечимый; исправимый; досл. с остатком"	""	""	""
"74574"	""	"(об обвинении) неизлечимый; непоправимый; досл. без остатка"	""	""	""
"74575"	"отбрасывает; устраняет; избавляется (от)"	""	""	""	""
"74576"	"умерщвление; аскетическая дисциплина"	"умерщвление; аскетическая дисциплина; букв. усталость"	"усталость"	""	""
"74577"	"орган зрения; основа зрения"	""	""	""	""
"74578"	""	"слуховой орган; слуховая основа; досл. слуховая способность"	""	""	""
"74579"	""	"орган чувств носа; обонятельная база чувств; досл. способность носа"	""	""	""
"74580"	""	"орган вкуса; основа вкусового ощущения; досл. способность языка"	""	""	""
"74581"	""	"орган чувства тела; основа осязательного восприятия; досл. орган тела"	""	""	""
"74582"	""	"имя монахини архат; досл. тряска"	""	"сестра Sāriputta, Тхеригатха стихи 182-188 (TH72, TH59) относят к ней"	""
"74583"	""	"ты победил; ты завоевал; ты преодолел"	""	""	""
"74584"	""	"как; подобно; походить; обладать качеством; обладать характеристикой"	""	""	""
"74585"	""	"как; подобно; напоминающий; обладающий качеством; обладающий характеристикой"	""	""	""
"74586"	""	"не очевидный; не ясный"	""	""	""
"74587"	""	"плохие деяния; злодеяние; плохие поступки; правонарушение"	""	""	""
"74588"	""	"аморальный человек; безнравственный мужчина"	""	""	""
"74589"	""	"железный молот; досл. железный кулак"	""	""	""
"74590"	""	"(грам) лёгкость произношения; лёгкое артикулирование; эвфония"	""	""	""
"74591"	""	"(грам) (о правиле) неприменимый; нерелевантный; досл. не существующий"	""	""	""
"74592"	""	"(грам) (о правиле) обязательный; необходимый; не допускающий вариантов"	""	"MW предлагает образование от ni √jan"	""
"74593"	"(грамм) отсоединённый; отделённый"	"(грам) отключённый; отделённый; досл. заставленный стоять в стороне"	"побуждённый стоять отдельно вниз"	""	""
"74594"	""	"(грам) ограниченная возможность; ограниченная применимость"	""	""	""
"74595"	""	"отсутствие союза; отсутствие сандхи; досл. естественный сандхи"	""	""	""
"74596"	""	"чрезмерно воображающий; чрезмерно гордый; досл. слишком пьяный"	""	""	""
"74597"	""	"(абхи) элемент расширения; досл. состояние земли"	""	""	""
"74598"	""	"(абхидхарма) элемент жара; досл. огненное состояние"	""	""	""
"74599"	""	"(абхи) элемент движения; досл. состояние воздуха"	""	""	""
"74600"	""	"(абхи) элемент сцепления; досл. водное состояние"	""	""	""
"74601"	""	"часто"	""	""	""
"74602"	""	"факт завершения; факт окончания"	""	""	""
"74603"	""	"жадный человек; кто хочет; досл. стать жадным"	""	""	""
"74604"	""	"наличие признака; факт служения указанием; досл. с признаком"	""	""	""
"74605"	""	"факт отсутствия признака; факт отсутствия указания; досл. отсутствие состояния знака"	""	""	""
"74606"	""	"препятствие, неведение; помеха, непонимание"	""	""	""
"74607"	""	"факт отрезанности; факт искорененности; факт уничтожения; досл. разрезанное вместе состояние"	""	""	""
"74608"	""	"оковa, привязанность; узы желания"	""	""	""
"74609"	""	"собиратель; коллекционер; досл. тот, кто собирает вместе"	""	""	""
"74610"	""	"собрание; накопление; досл. собранное вместе"	""	""	""
"74611"	""	"входящий в утробу; досл. нисходящий в утробу"	""	""	""
"74612"	""	"имеющий обучение как выгоду; с практикой как пользой"	""	""	""
"74613"	""	"разрушение; раскалывание"	""	""	""
"74614"	""	"обесцвечивание; увядание; растворение; досл. потеря цвета"	""	""	""
"74615"	""	"жёлтая миробаланка, замоченная в коровьей моче"	""	""	""
"74616"	""	"превзойдя; преодолев; досл. зайдя слишком далеко"	""	""	""
"74617"	""	"перелив; избыток; досл. сбрызгивание вниз"	""	""	""
"74618"	""	"берется (как); понимается (как); досл. получается"	""	""	""
"74619"	""	"(о тексте) установленный; закреплённый; добавленный в канон; досл. смонтированный"	""	""	""
"74620"	""	"объясняет подробно"	""	""	""
"74621"	""	"(грам) местоимение; досл. имя слово"	""	""	""
"74622"	""	""	""	""	""
"74623"	""	"одобрение; согласие; ратификация"	""	""	""
"74624"	""	"хотел, желал, жаждал"	""	"см. vana 1"	""
"74625"	""	"факт быть хорошо пахнущим; факт быть ароматным; досл. хороший запах"	""	""	""
"74626"	""	"первая глава Итивуттаки"	""	""	""
"74627"	""	"Итивуттака 35 (ИТИ 35)"	""	""	""
"74628"	""	"имеющий обилие тупости и сонливости; полный лености и вялости"	""	""	""
"74629"	""	"итивуттака 36 (ИТИ 36)"	""	""	""
"74630"	""	"накрашенная женщина; женщина, носящая макияж; досл. с подводкой для глаз"	""	"см. añjanī 1 and MW"	""
"74631"	"не один к другому; не взаимно"	""	""	""	""
"74632"	""	"только спокойно; лишь мирно"	""	""	""
"74633"	""	"подношение; услуга; присутствие; досл. приближение"	""	""	""
"74634"	""	"имя шакьянского царя; досл. безопасность"	""	""	""
"74635"	""	"восемьдесят два (82)"	""	""	""
"74636"	""	"имя брахмана; предыдущая инкарнация Будды; досл. защитник огня"	""	""	""
"74637"	""	"подходящее действие; уместный поступок"	""	""	""
"74638"	"имя брахмана-аскета"	"имя брахмана-аскета; досл. который наполнен"	"который наполнен"	""	""
"74639"	""	"отверстие; апертура; канал; путь; досл. поток"	""	""	""
"74640"	""	"уменьшается, исчезает"	""	""	""
"74641"	""	"джекстрас; спилликены; спелликаны; собрать палочки"	""	""	""
"74642"	""	"гордость; высокомерие; досл. знамя"	""	""	""
"74643"	""	"я получаю; я приобретаю; я имею"	""	""	""
"74644"	""	""	""	""	""
"74645"	"привязанность; объединение; скованность"	""	"связывание вместе"	""	""
"74646"	""	"улучшающий здоровье; повышающий жизнеспособность; досл. увеличивающий"	""	""	""
"74647"	"(о деньгах) проценты по кредиту; фиксированная плата"	""	"рост"	""	""
"74648"	""	"имя семьи брахманов"	""	""	""
"74649"	""	"(грам) следующий, соответствующий"	""	""	""
"74650"	""	"говорится; произносится; рассказывается"	""	""	""
"74651"	""	"говорится; сказано; рассказывается"	""	""	""
"74652"	""	"объясняется; иллюстрируется; освещается; досл. освещается"	""	""	""
"74653"	""	"пара феноменов; две стороны одной медали; двойственность"	""	""	""
"74654"	""	"интерпретация"	""	""	""
"74655"	""	"устанавливающий; изгоняющий; выезжающий; досл. заставляющий идти"	""	""	""
"74656"	""	"не залипающий; не застревающий; не прикрепляющийся; не цепляющийся"	""	""	""
"74657"	""	"не привязывающийся; не запутывающийся; досл. не застревающий"	""	""	""
"74658"	""	"выражается; передается"	""	""	""
"74659"	""	"отрезал жажду; остановил желание"	""	""	""
"74660"	""	"вместе; дома; (комм) не живущий за границей; досл. приведенный вместе здесь"	""	""	""
"74661"	""	"перенос; ношение; поддержка"	""	""	""
"74662"	""	"желающий, стремящийся, жаждущий"	""	""	""
"74663"	""	"главный бык; бык-производитель; досл. владыка коров"	""	""	""
"74664"	""	"защитив; охранив; уберёгши"	""	""	""
"74665"	""	""	""	""	""
"74666"	""	"расколов, отрубив, сломав, разорвав"	""	""	""
"74667"	""	"разбив; разорвав; расколов"	""	""	""
"74668"	""	"возвращается; приходит снова; приходит обратно; досл. подходит снова"	""	""	""
"74669"	""	"заполняющий; делающий полным"	""	""	""
"74670"	""	"не вредящий; не беспокоящий; не мучающий; не раздражающий; не тревожащий"	""	""	""
"74671"	""	"пастух; скотовод; охранник скота; досл. охранник"	""	"or <i>go + pa + ika</i>"	""
"74672"	""	"имеющий тесную связь; с близкими отношениями; досл. рожденный от слипания"	""	""	""
"74673"	""	""	""	""	""
"74674"	""	"следующий любви; преследующий привязанность; досл. стремящийся к влаге"	""	""	""
"74675"	""	"трудный для поддержки; сложный для ухода; трудный в содержании; досл. плохое удержание вместе"	""	""	""
"74676"	""	"побег бамбука"	""	""	""
"74677"	""	"маленький побег бамбука; молодой побег бамбука"	""	""	""
"74678"	""	"между друзьями; среди товарищей"	""	""	""
"74679"	""	"опустив, отложив, убрав, отбросив; досл. заставив опуститься"	""	""	""
"74680"	""	"мирские признаки; внешние символы домашней жизни; досл. знаки домохозяина"	""	""	""
"74681"	""	"с обрезанными листьями; с сорванной листвой"	""	""	""
"74682"	""	"с опавшими листьями; с оброненной листвой; сбросивший листья"	""	""	""
"74683"	""	"дружба; товарищеские отношения; братство; досл. достижение друга"	""	""	""
"74684"	""	"кто безупречный; кто безукоризненный; досл. питающийся безукоризненно"	""	""	""
"74685"	""	"давание древесины; подношение дерева"	""	""	""
"74686"	""	"дача бамбука; предложение бамбука"	""	""	""
"74687"	""	"дарение листьев; подношение листвы"	""	""	""
"74688"	""	"дарение цветов; подношение цветков"	""	""	""
"74689"	""	"дача плодов; предложение фруктов"	""	""	""
"74690"	""	"передача средств для купания; подношение мыла"	""	""	""
"74691"	""	"мыло; принадлежности для купания; банная пудра; досл. купание"	""	""	""
"74692"	""	"экстракт; отвар; выпаривание; концентрат; досл. выпаренный"	""	""	""
"74693"	""	"концентрированный краситель; экстракт красителя; досл. окрашивание, полностью приготовленное"	""	""	""
"74694"	""	"раздача порошка; предложение мыла-порошка"	""	""	""
"74695"	""	"давание глины; подношение глины"	""	""	""
"74696"	""	"давание зубочисток; подношение зубной щетки"	""	""	""
"74697"	""	"факт полуправды; зарабатывать на жизнь ложью; досл. (слова как) фасоль и маш"	""	""	""
"74698"	""	"передача полуправды; зарабатывание на жизнь обманом; досл. (слова как) бобы и дал"	""	""	""
"74699"	""	"уход; забота; опека"	""	""	""
"74700"	""	"уход; ласка; забота; (комм) игра с детьми"	""	""	""
"74701"	""	"факт раздавливания стульев"	""	"см. MW ""танцующий мастер который учит куртизанок"""	""
"74702"	""	"бегание на побегушках; досл. быть отосланным теленком"	""	""	""
"74703"	""	"между регионами; межрегиональные области; за границей"	""	""	""
"74704"	""	"должен быть отправлен; досл. должно отправить"	""	""	""
"74705"	""	"выполнение поручений; передача сообщений; досл. быть отправленным"	""	""	""
"74706"	""	"факт сидения; досл. состояние сидения"	""	""	""
"74707"	""	"давящий, молотый"	""	""	""
"74708"	""	"факт объединения; факт смешивания"	""	""	""
"74709"	""	"связанный с далом; касающийся чечевичного карри; о соусе"	""	""	""
"74710"	""	"факт зарабатывания (на жизнь); факт получения (средств к существованию)"	""	""	""
"74711"	""	"получение пищи на подаяние в обмен"	""	""	""
"74712"	""	"дача подаяния и получение подаяния взамен"	""	""	""
"74713"	"хорошо законченный; мастерски исполненный; отлично изготовленный"	"хорошо законченный; идеально отполированный; отличного мастерства; досл. хорошо поставленный вниз"	"хорошо поставленный вниз"	""	""
"74714"	""	"стукающийся; сталкивающийся; звенящийся вместе"	""	""	""
"74715"	""	"разговор; устное общение; досл. выражение посредством речи"	""	""	""
"74716"	""	"слепни и змеи; оводы и ползающие насекомые"	""	""	""
"74717"	""	"стадо слонов"	""	""	""
"74718"	""	"избежав; уклонившись; воздержавшись; сторонясь (от); досл. отвернувшись"	""	""	""
"74719"	""	"полностью выросший; хорошо развитый; хорошо сложенный; с массивной передней частью; досл. с выросшими плечами"	""	""	""
"74720"	""	"полностью взрослый; полностью сформированный; полностью развитый"	""	""	""
"74721"	""	"(о слоне) пятнистый; пёстрый; досл. с лотосами"	""	""	""
"74722"	""	"достигает; испытывает"	""	""	""
"74723"	""	"искажённый взгляд; извращённое убеждение; деформированное представление"	""	""	""
"74724"	""	"знающий; понимающий; проницательный"	""	""	""
"74725"	""	"нашедший путь; достигший стези"	""	""	""
"74726"	""	"у кого появилось понимание; кто достиг знания"	""	""	""
"74727"	""	"без жадности; без желания; досл. без жажды"	""	""	""
"74728"	""	"встряхивание; кидание"	""	""	""
"74729"	""	"восхваляемый; облещаемый; превозносимый"	""	""	""
"74730"	""	"(о браке) предложив; обручившись; досл. выбрав"	""	""	""
"74731"	""	"не желающий; не тоскующий; не надеющийся; не ожидающий; досл. не смотрящий"	""	""	""
"74732"	""	"неумаляющий; неуничижающий; неочерняющий; (комм) не стирающий хорошие качества других"	""	""	""
"74733"	""	"родственники; члены семьи; родня"	""	"обычно мужского рода"	""
"74734"	""	"в какой бы то ни было степени; досл. согласно пределу"	""	""	""
"74735"	""	"умный; интеллигентный; мудрый; проницательный; досл. обладающий качеством интеллекта"	""	""	""
"74736"	""	"разбив, сломав, разрушив, расколов"	""	""	""
"74737"	""	"разбив; раздробив; расщепив"	""	""	""
"74738"	""	"рыба в воде; досл. в воде странствующая вода"	""	""	""
"74739"	""	"не возвращающийся; не приходящий обратно (из)"	""	""	""
"74740"	""	"с охраняемым умом; с защищённым умом"	""	""	""
"74741"	""	"побрившись; сбрив; досл. вызвав перенесение вниз"	""	"см. ohārayitvā 2"	""
"74742"	""	"сняв; удалив; отбросив; досл. заставив нести вниз"	""	"см. ohārayitvā 1"	""
"74743"	""	"покрытый листьями"	""	"см. sañchannapatta 2.1"	""
"74744"	""	"покрытый чашей"	""	"см. sañchannapatta 1.1"	""
"74745"	""	"название типа дерева; Bauhinia variegata; досл. защитный тент вокруг"	""	""	""
"74746"	""	"уйдя из мира; отрёкшись от домашней жизни; приняв постриг"	""	""	""
"74747"	""	"пять препятствий; пять преград; пять помех"	""	""	""
"74748"	""	"удаляя; рассеивая; искореняя; досл. полностью изгоняя"	""	""	""
"74749"	""	"любовь и ненависть; желание и отвращение"	""	"см. sinehadosa 2"	""
"74750"	""	"любовь; ненависть; желание; неприязнь"	""	"см. sinehadosa 1"	""
"74751"	""	"отвернувшись, покинув, оставив позади"	""	""	""
"74752"	""	"обретя душевное равновесие; достигнув невозмутимости"	""	""	""
"74753"	""	"достижение высшей цели; достижение высшей истины; достижение высшего состояния"	""	""	""
"74754"	""	"жизнь полного энергии; активный образ жизни; досл. нежизнь ленивая"	""	""	""
"74755"	""	"не уныние; не становление обескураженным; досл. не погружение вниз"	""	""	""
"74756"	""	"погружение; утопление"	""	""	""
"74757"	""	"с сильной энергией; с постоянным усилием; досл. сильный выход"	""	""	""
"74758"	""	"постоянно предпринимающий; настойчиво принимающий на себя; практикующий последовательно"	""	""	""
"74759"	""	"наделенный выносливостью и силой; обладающий стойкостью и мощью"	""	""	""
"74760"	""	"не пренебрегающий медитацией; не забывающий джхану"	""	""	""
"74761"	""	"с мощными зубами; с яростными клыками"	""	""	""
"74762"	""	"применяющий себя (к); занимающийся (чем-то); практикующий; преследующий"	""	""	""
"74763"	""	"целенаправленный; обоснованный; досл. причина - выгода"	""	""	""
"74764"	""	"эгоистичный; заботящийся только о своей выгоде; служащий только себе; досл. с мудростью для собственной выгоды; (комм) мудрость, стоящая в себе"	""	"[пер. ИИ] комментарий рассматривает как <i>atta + ṭha + pañña</i>. также обратите внимание на два варианта чтения в комментарии."	""
"74765"	"немотивированный; без задней мысли"	"безмотивный; без задней мысли; досл. без причины"	"не-делание"	""	""
"74766"	""	"древнее вариантивное чтение; старый текстуальный вариант"	""	""	""
"74767"	""	"лучший из людей; высшее существо; досл. лучший из двуногих"	""	""	""
"74768"	""	"тот, кто показывает путь; тот, кто учит истине"	""	""	""
"74769"	""	""	""	""	""
"74770"	""	"быть частью; быть составляющей"	""	""	""
"74771"	""	"живущий на пути; находящийся на дороге"	""	""	""
"74772"	""	"законченный; завершенный; заключенный"	""	""	""
"74773"	""	"не завершённый; не прекращенный; не законченный"	""	""	""
"74774"	"занятость; присутствие дел к выполнению"	"факт наличия чего-то, что нужно сделать; факт наличия обязательств; факт наличия работы; досл. состояние ""быть сделанным"""	"состояние к исполнению"	""	""
"74775"	""	"безупречное состояние; безупречный путь; (комм) тридцать семь факторов, связанных с пробуждением"	""	""	""
"74776"	""	"факт безупречности; безупречность; невинность; досл. не подлежащий осуждению состояние"	""	""	""
"74777"	""	"незапятнанный; неосквернённый; неискажённый"	""	""	""
"74778"	""	"чистый, неразбавленный, несмешанный, отдельный"	""	""	""
"74779"	""	"чистый; незагрязнённый; неподдельный; досл. несмешанный"	""	""	""
"74780"	""	"факт неразмешанности; факт неподдельности"	""	""	""
"74781"	""	"пропускает; не обращает внимания; задерживает"	""	""	""
"74782"	""	"обладающий обширным богатством; с обильными ресурсами"	""	""	""
"74783"	""	"презирать; смотреть свысока (на); испытывать презрение (к); снисходительно относиться (к)"	""	""	""
"74784"	""	"делающий изгоем; выполненный человеком низкого происхождения; досл. делающий как изгой"	""	""	""
"74785"	"город; торговый город"	"город; торговый город; досл. спуск"	"хождение вниз"	"[пер. ИИ] Мужской род более распространенный"	""
"74786"	""	"убийца; разрушитель"	""	""	""
"74787"	""	"желание небольшой вещи; хотение пустяка"	""	""	""
"74788"	""	"обучает тому, что не приносит пользы; дает плохой совет"	""	""	""
"74789"	""	"изысканная еда; вкусная трапеза"	""	""	""
"74790"	""	"желающий; стремящийся получить; досл. желающий завоевать"	""	"[пер. ИИ] Перевод на русский: Kaccāyana (474, 535) принимает корень как <i>√har</i>, что соответствует санскритскому желательному <i>jihīrṣati</i> (см. MW <i>hṛ</i>). Но более вероятным кандидатом является <i>√ji</i>, что соответствует санскритскому желательному <i>jigīṣati</i> (см. MW <i>ji</i>)."	""
"74791"	""	"самый низкий из низких; худший из худших; досл. самый низший из неприкасаемых"	""	""	""
"74792"	""	"в соответствии с этим (примером) моим; согласно этому (иллюстрации) моему"	""	""	""
"74793"	""	"сын человека вне касты; ребенок из низшей касты"	""	""	""
"74794"	""	"достигший высочайшей славы; получивший наивысший престиж"	""	""	""
"74795"	""	"семья брахманского учителя; дом ведического декламатора"	""	""	""
"74796"	"из несчастливого удела; из состояния лишений; из ада"	"из состояния страдания; из плохого места; из ада"	"от плохого хождения"	""	""
"74797"	""	"божественный; небесный; неземной"	""	""	""
"74798"	""	"хорошо ориентированный; благосклонный; правильно склоненный; досл. хорошо помещенный вперед"	""	""	""
"74799"	""	"имя сверхъестественного существа; имя демона; досл. приятная речь; (или) красивый горный хребет"	""	""	""
"74800"	""	"название горы; Гималаи; досл. со снегом"	""	""	""
"74801"	""	"грубоговорящий; использующий резкие слова; критикующий"	""	""	""
"74802"	""	"все иллюзии; каждое заблуждение"	""	""	""
"74803"	""	"ворует что-то маленькое; берет мелочь"	""	""	""
"74804"	""	"передвигающийся; обходящий; живущий своей жизнью"	""	""	""
"74805"	""	"ведущий чистую жизнь; с чистым поведением"	""	""	""
"74806"	""	"(грам) слог cā"	""	""	""
"74807"	""	"размышляющий внутрь; обдумывающий своё внутреннее существо; (комм) рассматривающий продолжение агрегатов с пониманием трёх характеристик"	""	""	""
"74808"	""	"внутренне воспринимающий; осознающий внутренние состояния"	""	""	""
"74809"	""	"кости и сухожилия; кости и связки"	""	""	""
"74810"	""	"заставляет сгибаться назад; приводит к складыванию назад; заставляет возвращаться назад"	""	""	""
"74811"	""	"связанный с костями и сухожилиями; связанный костями и жилами"	""	""	""
"74812"	""	"кости и сухожилия; кости и жилы"	""	""	""
"74813"	""	"факт быть оштукатуренным; факт быть покрытым (чем-либо); досл. состояние смазанности"	""	""	""
"74814"	""	"кожа и плоть; кожа и мясо"	""	""	""
"74815"	""	"заполненный кишками; полный внутренностями"	""	""	""
"74816"	""	"комок; кусок"	""	""	""
"74817"	""	"кусок печени"	""	""	""
"74818"	""	"кусок печени"	""	""	""
